Profile,Position,Company,Experience
Rotating Equipment Engineer,Schlumberger · Full-time,Aug 2022 - Present · 10 mos,https://www.linkedin.com/in/ACoAABPhLisBO84-X75h2dpsHPXUuuYt50uvBZc
Rotating Equipment Engineer,L & T Chiyoda Ltd · Full-time,Feb 2018 - Jul 2022 · 4 yrs 6 mos,https://www.linkedin.com/in/ACoAABPhLisBO84-X75h2dpsHPXUuuYt50uvBZc
Mechanical Engineer,Venus engineering and consultancy · Full-time,Aug 2016 - Jan 2018 · 1 yr 6 mos,https://www.linkedin.com/in/ACoAABPhLisBO84-X75h2dpsHPXUuuYt50uvBZc
Rotating Equipment Engineer,Fluor Daniel India Private Limited,Feb 2015 - May 2016 · 1 yr 4 mos,https://www.linkedin.com/in/ACoAABPhLisBO84-X75h2dpsHPXUuuYt50uvBZc
Rotating Equipment Engineer,GS E&C,Feb 2014 - Feb 2015 · 1 yr 1 mo,https://www.linkedin.com/in/ACoAABPhLisBO84-X75h2dpsHPXUuuYt50uvBZc
Rotating Equipment Engineer,IOTL,Aug 2011 - Dec 2013 · 2 yrs 5 mos,https://www.linkedin.com/in/ACoAABPhLisBO84-X75h2dpsHPXUuuYt50uvBZc
